,season,round,race_name,driver_id,driver_name,grid,position,points
0,2026,1,Australian Grand Prix,russell,George Russell,1,1,25
1,2026,1,Australian Grand Prix,antonelli,Andrea Kimi Antonelli,2,2,18
2,2026,1,Australian Grand Prix,leclerc,Charles Leclerc,4,3,15
3,2026,1,Australian Grand Prix,hamilton,Lewis Hamilton,7,4,12
4,2026,1,Australian Grand Prix,norris,Lando Norris,6,5,10
5,2026,1,Australian Grand Prix,max_verstappen,Max Verstappen,20,6,8
6,2026,1,Australian Grand Prix,bearman,Oliver Bearman,12,7,6
7,2026,1,Australian Grand Prix,arvid_lindblad,Arvid Lindblad,9,8,4
8,2026,1,Australian Grand Prix,bortoleto,Gabriel Bortoleto,10,9,2
9,2026,1,Australian Grand Prix,gasly,Pierre Gasly,14,10,1
10,2026,1,Australian Grand Prix,ocon,Esteban Ocon,13,11,0
11,2026,1,Australian Grand Prix,albon,Alexander Albon,15,12,0
12,2026,1,Australian Grand Prix,lawson,Liam Lawson,8,13,0
13,2026,1,Australian Grand Prix,colapinto,Franco Colapinto,16,14,0
14,2026,1,Australian Grand Prix,sainz,Carlos Sainz,21,15,0
15,2026,1,Australian Grand Prix,perez,Sergio Pérez,18,16,0
16,2026,1,Australian Grand Prix,stroll,Lance Stroll,22,17,0
17,2026,1,Australian Grand Prix,alonso,Fernando Alonso,17,18,0
18,2026,1,Australian Grand Prix,bottas,Valtteri Bottas,19,19,0
19,2026,1,Australian Grand Prix,hadjar,Isack Hadjar,3,20,0
20,2026,1,Australian Grand Prix,piastri,Oscar Piastri,5,21,0
21,2026,1,Australian Grand Prix,hulkenberg,Nico Hülkenberg,11,22,0
22,2026,2,Chinese Grand Prix,antonelli,Andrea Kimi Antonelli,1,1,25
23,2026,2,Chinese Grand Prix,russell,George Russell,2,2,18
24,2026,2,Chinese Grand Prix,hamilton,Lewis Hamilton,3,3,15
25,2026,2,Chinese Grand Prix,leclerc,Charles Leclerc,4,4,12
26,2026,2,Chinese Grand Prix,bearman,Oliver Bearman,10,5,10
27,2026,2,Chinese Grand Prix,gasly,Pierre Gasly,7,6,8
28,2026,2,Chinese Grand Prix,lawson,Liam Lawson,14,7,6
29,2026,2,Chinese Grand Prix,hadjar,Isack Hadjar,9,8,4
30,2026,2,Chinese Grand Prix,sainz,Carlos Sainz,17,9,2
31,2026,2,Chinese Grand Prix,colapinto,Franco Colapinto,12,10,1
32,2026,2,Chinese Grand Prix,hulkenberg,Nico Hülkenberg,11,11,0
33,2026,2,Chinese Grand Prix,arvid_lindblad,Arvid Lindblad,15,12,0
34,2026,2,Chinese Grand Prix,bottas,Valtteri Bottas,19,13,0
35,2026,2,Chinese Grand Prix,ocon,Esteban Ocon,13,14,0
36,2026,2,Chinese Grand Prix,perez,Sergio Pérez,21,15,0
37,2026,2,Chinese Grand Prix,max_verstappen,Max Verstappen,8,16,0
38,2026,2,Chinese Grand Prix,alonso,Fernando Alonso,18,17,0
39,2026,2,Chinese Grand Prix,stroll,Lance Stroll,20,18,0
40,2026,2,Chinese Grand Prix,piastri,Oscar Piastri,5,19,0
41,2026,2,Chinese Grand Prix,norris,Lando Norris,6,20,0
42,2026,2,Chinese Grand Prix,bortoleto,Gabriel Bortoleto,16,21,0
43,2026,2,Chinese Grand Prix,albon,Alexander Albon,22,22,0
44,2026,3,Japanese Grand Prix,antonelli,Andrea Kimi Antonelli,1,1,25
45,2026,3,Japanese Grand Prix,piastri,Oscar Piastri,3,2,18
46,2026,3,Japanese Grand Prix,leclerc,Charles Leclerc,4,3,15
47,2026,3,Japanese Grand Prix,russell,George Russell,2,4,12
48,2026,3,Japanese Grand Prix,norris,Lando Norris,5,5,10
49,2026,3,Japanese Grand Prix,hamilton,Lewis Hamilton,6,6,8
50,2026,3,Japanese Grand Prix,gasly,Pierre Gasly,7,7,6
51,2026,3,Japanese Grand Prix,max_verstappen,Max Verstappen,11,8,4
52,2026,3,Japanese Grand Prix,lawson,Liam Lawson,14,9,2
53,2026,3,Japanese Grand Prix,ocon,Esteban Ocon,12,10,1
54,2026,3,Japanese Grand Prix,hulkenberg,Nico Hülkenberg,13,11,0
55,2026,3,Japanese Grand Prix,hadjar,Isack Hadjar,8,12,0
56,2026,3,Japanese Grand Prix,bortoleto,Gabriel Bortoleto,9,13,0
57,2026,3,Japanese Grand Prix,arvid_lindblad,Arvid Lindblad,10,14,0
58,2026,3,Japanese Grand Prix,sainz,Carlos Sainz,16,15,0
59,2026,3,Japanese Grand Prix,colapinto,Franco Colapinto,15,16,0
60,2026,3,Japanese Grand Prix,perez,Sergio Pérez,19,17,0
61,2026,3,Japanese Grand Prix,alonso,Fernando Alonso,21,18,0
62,2026,3,Japanese Grand Prix,bottas,Valtteri Bottas,20,19,0
63,2026,3,Japanese Grand Prix,albon,Alexander Albon,17,20,0
64,2026,3,Japanese Grand Prix,stroll,Lance Stroll,22,21,0
65,2026,3,Japanese Grand Prix,bearman,Oliver Bearman,18,22,0
66,2026,4,Miami Grand Prix,antonelli,Andrea Kimi Antonelli,1,1,25
67,2026,4,Miami Grand Prix,norris,Lando Norris,4,2,18
68,2026,4,Miami Grand Prix,piastri,Oscar Piastri,7,3,15
69,2026,4,Miami Grand Prix,russell,George Russell,5,4,12
70,2026,4,Miami Grand Prix,max_verstappen,Max Verstappen,2,5,10
71,2026,4,Miami Grand Prix,hamilton,Lewis Hamilton,6,6,8
72,2026,4,Miami Grand Prix,colapinto,Franco Colapinto,8,7,6
73,2026,4,Miami Grand Prix,leclerc,Charles Leclerc,3,8,4
74,2026,4,Miami Grand Prix,sainz,Carlos Sainz,13,9,2
75,2026,4,Miami Grand Prix,albon,Alexander Albon,15,10,1
76,2026,4,Miami Grand Prix,bearman,Oliver Bearman,12,11,0
77,2026,4,Miami Grand Prix,bortoleto,Gabriel Bortoleto,21,12,0
78,2026,4,Miami Grand Prix,ocon,Esteban Ocon,14,13,0
79,2026,4,Miami Grand Prix,arvid_lindblad,Arvid Lindblad,16,14,0
80,2026,4,Miami Grand Prix,alonso,Fernando Alonso,17,15,0
81,2026,4,Miami Grand Prix,perez,Sergio Pérez,20,16,0
82,2026,4,Miami Grand Prix,stroll,Lance Stroll,18,17,0
83,2026,4,Miami Grand Prix,bottas,Valtteri Bottas,19,18,0
84,2026,4,Miami Grand Prix,hulkenberg,Nico Hülkenberg,10,19,0
85,2026,4,Miami Grand Prix,lawson,Liam Lawson,11,20,0
86,2026,4,Miami Grand Prix,gasly,Pierre Gasly,9,21,0
87,2026,4,Miami Grand Prix,hadjar,Isack Hadjar,22,22,0
88,2026,5,Canadian Grand Prix,antonelli,Andrea Kimi Antonelli,2,1,25
89,2026,5,Canadian Grand Prix,hamilton,Lewis Hamilton,5,2,18
90,2026,5,Canadian Grand Prix,max_verstappen,Max Verstappen,6,3,15
91,2026,5,Canadian Grand Prix,leclerc,Charles Leclerc,8,4,12
92,2026,5,Canadian Grand Prix,hadjar,Isack Hadjar,7,5,10
93,2026,5,Canadian Grand Prix,colapinto,Franco Colapinto,10,6,8
94,2026,5,Canadian Grand Prix,lawson,Liam Lawson,12,7,6
95,2026,5,Canadian Grand Prix,gasly,Pierre Gasly,14,8,4
96,2026,5,Canadian Grand Prix,sainz,Carlos Sainz,15,9,2
97,2026,5,Canadian Grand Prix,bearman,Oliver Bearman,16,10,1
98,2026,5,Canadian Grand Prix,piastri,Oscar Piastri,4,11,0
99,2026,5,Canadian Grand Prix,hulkenberg,Nico Hülkenberg,11,12,0
100,2026,5,Canadian Grand Prix,bortoleto,Gabriel Bortoleto,13,13,0
101,2026,5,Canadian Grand Prix,ocon,Esteban Ocon,17,14,0
102,2026,5,Canadian Grand Prix,stroll,Lance Stroll,22,15,0
103,2026,5,Canadian Grand Prix,bottas,Valtteri Bottas,21,16,0
104,2026,5,Canadian Grand Prix,perez,Sergio Pérez,20,17,0
105,2026,5,Canadian Grand Prix,norris,Lando Norris,3,18,0
106,2026,5,Canadian Grand Prix,russell,George Russell,1,19,0
107,2026,5,Canadian Grand Prix,alonso,Fernando Alonso,19,20,0
108,2026,5,Canadian Grand Prix,albon,Alexander Albon,18,21,0
109,2026,5,Canadian Grand Prix,arvid_lindblad,Arvid Lindblad,9,22,0
110,2026,6,Monaco Grand Prix,antonelli,Andrea Kimi Antonelli,1,1,25
111,2026,6,Monaco Grand Prix,hamilton,Lewis Hamilton,3,2,18
112,2026,6,Monaco Grand Prix,gasly,Pierre Gasly,9,3,15
113,2026,6,Monaco Grand Prix,hadjar,Isack Hadjar,5,4,12
114,2026,6,Monaco Grand Prix,piastri,Oscar Piastri,7,5,10
115,2026,6,Monaco Grand Prix,lawson,Liam Lawson,10,6,8
116,2026,6,Monaco Grand Prix,arvid_lindblad,Arvid Lindblad,15,7,6
117,2026,6,Monaco Grand Prix,albon,Alexander Albon,11,8,4
